Date,Open,High,Low,Close,Adj Close,Volume
9/29/2014,45.98,46.56,45.76,46.44,41.57,26091000
9/30/2014,46.37,46.48,46.01,46.36,41.50,33033100
10/1/2014,46.27,46.53,45.85,45.90,41.09,38088400
10/2/2014,45.83,46.10,45.64,45.76,40.96,25119400
10/3/2014,45.98,46.30,45.61,46.09,41.26,32453200
10/6/2014,46.12,46.30,45.92,46.09,41.26,20604000
10/7/2014,45.86,45.93,45.42,45.53,40.76,25723700
10/8/2014,45.48,46.89,45.34,46.78,41.88,33031000
10/9/2014,46.50,46.80,45.74,45.85,41.04,34422800
10/10/2014,45.60,46.12,43.95,44.03,39.41,51978100
10/13/2014,43.82,44.56,43.49,43.65,39.07,37100200
10/14/2014,43.87,44.38,43.56,43.73,39.15,38115700
10/15/2014,43.00,43.39,42.10,43.22,38.69,60218700
10/16/2014,42.53,43.08,42.22,42.74,38.26,49040400
10/17/2014,43.20,43.94,42.79,43.63,39.06,40683300
10/20/2014,43.06,44.14,42.81,44.08,39.46,34527900
10/21/2014,44.36,44.98,44.19,44.88,40.18,36433800
10/22/2014,45.00,45.07,44.23,44.38,39.73,33570900
10/23/2014,44.62,45.45,44.53,45.02,40.30,45451900
10/24/2014,46.83,46.90,45.18,46.13,41.29,61076700
10/27/2014,45.71,46.10,45.71,45.91,41.10,30371300
10/28/2014,45.86,46.50,45.77,46.49,41.62,29049800
10/29/2014,46.44,46.70,46.34,46.62,41.73,30276100
10/30/2014,46.32,46.32,45.77,46.05,41.22,30073900
10/31/2014,46.94,46.97,46.48,46.95,42.03,35849700
11/3/2014,46.89,47.46,46.73,47.44,42.47,23130400
11/4/2014,47.30,47.73,47.25,47.57,42.58,21530800
11/5/2014,47.80,47.90,47.26,47.86,42.84,22449600
11/6/2014,47.86,48.86,47.79,48.70,43.59,33037800
11/7/2014,48.92,48.92,48.29,48.68,43.58,28000600
11/10/2014,48.65,49.15,48.55,48.89,43.76,36370100
11/11/2014,48.85,48.95,48.65,48.87,43.75,23445200
